cons_12m,cons_gas_12m,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_peak,margin_gross_net_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,var_year_price_off_peak_var,var_year_price_peak_var,var_year_price_off_peak_fix,var_year_price_peak_fix,var_6m_price_off_peak_var,var_6m_price_peak_var,var_6m_price_mid_peak_var,channel_sales,has_gas,month_activ,day_activ,month_modif_prod,day_modif_prod,day_renewal,offpeak_diff_dec_january_energy,offpeak_diff_dec_january_power,peak_diff_dec_january_energy,peak_diff_dec_january_power,midpeak_diff_dec_january_energy,churn
10831,0,1204.58,3112,0.0,20.94,0.087381,14.52,1,108.5,5,11.5,6.345629924242368e-07,3.5849357196969568e-06,0.0083802259640179,0.0,3.988681666666538e-07,2.253388166666656e-06,0.0,7,0,7,11,7,11,12,-0.0015469999999999928,0.17777879999999868,0.0036769999999999997,0.0,0.0,0
4442,0,561.96,2489,0.0,20.5,0.088444,21.09,1,18.41,6,10.392,4.038150787878786e-06,2.347855151515109e-07,0.3686498475124785,0.0,3.8172954666666295e-06,4.9497056666666e-07,0.0,4,0,11,26,11,26,27,-0.0014959999999999973,2.1777792000000034,0.0012979999999999936,0.0,0.0,0
46121,1542867,4502.43,5280,0.0,145.81,0.100123,5.52,2,533.46,4,16.5,6.398248254545457e-05,2.5174619424242408e-05,1.1271752786051152,49.44147247743859,1.0204014166666688e-05,3.4631823000000075e-06,2.516200666666649e-06,4,1,9,1,10,30,1,-0.007016000000000008,0.16291560000000516,-0.0013350000000000029,0.09774935999999812,0.003030999999999992,0
7726,0,914.1,0,0.0,74.66,0.084428,33.12,1,89.02,3,13.2,1.179965187878798e-05,2.798100424242294e-06,0.0064647789908397,0.0,8.518623066666673e-06,3.5150999999999056e-06,0.0,4,0,1,22,11,18,24,-0.00815200000000002,0.17777879999999868,-0.0029539999999999983,0.0,0.0,0
9707,0,1028.52,0,0.0,15.37,0.089602,15.78,1,111.59,5,13.856,5.679116969697228e-06,1.5034329545458559e-07,2.94545456505995e-13,0.0,3.569730666666869e-06,9.450150000002215e-08,0.0,0,0,12,1,12,1,2,-0.004628000000000104,-1.1999999998124622e-06,-0.0007530000000001008,0.0,0.0,0
47019,0,1687.29,1080,0.0,16.08,0.0,19.28,1,130.14,4,10.392,4.135867363636293e-06,0.0,0.0076618913283488,0.0,3.318240666666697e-06,0.0,0.0,5,0,4,20,4,20,21,-0.0034229999999998983,0.17777879999999868,0.0,0.0,0.0,0
786536,80583,13517.5,23298,0.0,16.6,0.086163,25.68,2,1087.76,6,11.4,5.403329696969719e-06,5.737266287878166e-07,2.94545456505995e-13,0.0,3.569730666666668e-06,9.45014999999719e-08,0.0,0,1,2,15,2,15,16,-0.004194000000000003,-1.1999999998124622e-06,0.0013370000000000049,0.0,0.0,0
30776,0,3045.16,0,0.0,118.24,0.096521,19.29,1,335.78,5,25.0,1.589020026515154e-05,3.04611735606059e-06,0.0072385356078,0.0026059154732663,1.110032016666668e-05,2.896760166666644e-06,4.860000000000553e-10,4,0,8,1,7,25,27,-0.007666000000000006,0.16291560000000516,-0.0032129999999999936,0.09774935999999812,0.0027549999999999936,0
24838,0,1088.35,798,0.0,141.79,0.098837,21.57,1,117.44,5,15.001,1.658110026515159e-05,3.035138333333253e-06,0.0070375170099823,0.0025335061235934,1.110032016666668e-05,2.896760166666548e-06,4.860000000000553e-10,0,0,5,27,5,27,31,-0.007801000000000002,0.16291560000000516,-0.002904000000000004,0.09774935999999812,0.0029799999999999965,0
15411,0,194.42,0,0.0,18.31,0.0,23.97,1,19.07,4,13.0,4.2324387500000446e-06,0.0,0.008380216266894,0.0,3.318240666666617e-06,0.0,0.0,4,0,5,28,5,28,31,-0.0037669999999999926,0.17777879999999868,0.0,0.0,0.0,0
16782,0,1686.67,1908,0.0,131.77,0.100123,6.6,2,203.35,6,19.8,1.988616553787882e-05,4.188145537878784e-06,0.0040213494318,0.0014477568865025,1.273334216666671e-05,2.679260166666665e-06,1.5385666666666226e-07,4,1,10,1,10,1,3,-0.009328000000000017,0.16291560000000516,-0.0036469999999999975,0.09774935999999812,0.0007179999999999964,0
26987,0,2761.95,4099,0.0,129.95,0.10175,47.35,1,316.53,5,35.0,1.830589626515133e-05,5.0627279015151605e-06,0.0054289416934153,0.0019544190096292,1.1100320166666312e-05,2.896760166666644e-06,4.860000000000553e-10,4,0,3,4,3,4,9,-0.008497000000000005,0.16291560000000516,-0.004607,0.09774935999999812,0.0011820000000000025,0
20560,0,3037.82,3804,0.0,0.0,0.0,4.14,1,255.96,3,11.0,6.370262810606131e-06,0.0006089452740833,0.0047887273333853,0.0,4.352665199999966e-06,0.0,0.0,7,0,12,31,11,1,1,-0.0017409999999999926,0.1777799999999985,-0.085483,0.0,0.0,0
12157,0,1418.81,0,0.0,16.42,0.082403,23.4,2,123.87,3,10.392,6.166574333333354e-06,4.757695151515114e-07,0.0083802388933848,0.0,4.612067366666724e-06,6.87079866666658e-07,0.0,4,0,2,27,12,16,9,-0.006420000000000092,0.17777879999999868,-0.0012230000000000019,0.0,0.0,0
13122,0,1932.42,0,0.0,19.51,0.0,3.56,1,150.7,6,13.2,5.237456151515111e-06,0.0,0.004788720868712,0.0,3.292115466666588e-06,0.0,0.0,0,0,12,7,11,1,8,-0.004444999999999977,0.17777879999999868,0.0,0.0,0.0,0
3584,0,379.83,322,0.0,145.98,0.100123,57.72,1,38.76,5,23.1,1.878320024242427e-05,4.400378083333331e-06,0.0366212516372072,0.0297755414268481,1.1962227466666693e-05,2.797092966666662e-06,9.703746666666336e-08,4,0,11,17,11,17,18,-0.009328000000000017,0.6629160000000098,-0.0036469999999999975,0.5977497599999992,0.0007179999999999964,1
2632,0,394.83,0,0.0,15.98,0.0,14.64,1,38.62,6,10.392,3.7625766287878606e-06,0.0,0.0083802421258029,0.0,2.3650481666666317e-06,0.0,0.0,0,0,7,12,7,12,14,-0.0037669999999999926,0.17777879999999868,0.0,0.0,0.0,0
4792,0,719.4,0,0.0,0.0,0.0,19.42,1,60.0,4,12.5,1.0365740787878754e-05,0.0,3.490909143860595e-13,0.0,8.566696666666718e-06,0.0,0.0,4,0,12,12,11,1,14,-0.007920999999999984,-1.1999999998124622e-06,0.0,0.0,0.0,0
7950,0,856.81,1100,0.0,132.16,0.100123,20.0,1,94.01,6,15.01,1.988616553787882e-05,4.188145537878784e-06,0.037312345761546,0.0281566146172079,1.273334216666671e-05,2.679260166666665e-06,1.5385666666666226e-07,0,0,10,1,10,1,2,-0.009328000000000017,0.4962492000000083,-0.0036469999999999975,0.4310829599999977,0.0007179999999999964,0
1856956,41883,3074.16,0,0.0,99.05,0.100123,43.44,2,487.42,5,29.0,0.002381500591909,0.0016490920144469,249.5355037088141,89.83276365214353,0.0039253257768,0.0028003672437666,0.0014461592556,5,1,9,20,9,20,23,-0.009328000000000017,0.16291560000000516,-0.0036469999999999975,0.09774935999999812,0.0007179999999999964,0
324,0,8.32,0,0.0,1.08,0.0,18.62,2,1.27,7,13.2,5.079733696969455e-06,0.0,0.0083802259640179,0.0,1.9505401666666357e-06,0.0,0.0,4,0,7,7,5,23,9,-0.005163999999999891,0.17777879999999868,0.0,0.0,0.0,1
2103,0,355.17,0,30.0,19.6,0.0,27.96,2,19.0,4,10.392,0.0006414623422424,0.0,1.2934701780482143,0.0,3.3182406666666808e-06,0.0,0.0,7,0,12,14,8,6,5,0.04769699999999999,2.1777792000000034,0.0,0.0,0.0,0
19593,0,2886.5,0,0.0,17.55,0.0,17.45,1,243.99,4,13.856,3.784582878787865e-06,0.0,0.0083802421258029,0.0,2.378880666666664e-06,0.0,0.0,7,0,7,3,10,31,4,-0.0037780000000000036,0.17777879999999868,0.0,0.0,0.0,0
41814,0,4107.43,4159,0.0,129.97,0.101397,10.16,1,477.42,3,30.45,1.836518262878812e-05,3.673856083333362e-06,0.0,0.0,1.157044096666679e-05,2.6385945666666696e-06,8.166374666666532e-07,7,0,10,10,6,26,11,-0.008554999999999993,0.0,-0.0027830000000000077,0.0,0.0017089999999999883,0
37969,0,3879.98,3407,0.0,130.68,0.098262,44.64,1,407.98,11,33.0,1.7956278333333326e-05,4.362974386363499e-06,0.0054289416934153,0.0019544190096292,1.110032016666668e-05,2.896760166666527e-06,4.860000000000553e-10,0,0,3,28,3,9,29,-0.008502999999999983,0.16291560000000516,-0.004063999999999998,0.09774935999999812,0.003703999999999999,0
41214,0,4294.49,3538,0.0,146.56,0.100243,3.72,1,505.47,4,19.8,2.1132295969696468e-05,5.372736810606094e-06,0.0,0.0,1.4074611066666374e-05,3.484958166666664e-06,9.127839999999913e-08,4,0,11,4,11,1,5,-0.0108769999999999,0.0,-0.005105999999999999,0.0,-0.0006130000000000024,0
2012791,0,547.35,346,0.0,16.12,0.0,21.52,1,50.38,5,13.2,3.466153151514959e-06,0.0,0.0086196471385641,0.0,3.318240666666697e-06,0.0,0.0,5,0,6,22,6,22,23,-0.0034229999999998983,0.17777879999999868,0.0,0.0,0.0,0
20429,0,869.54,0,0.0,120.45,0.103487,60.39,1,111.64,6,26.6,1.5457422424242437e-05,3.7207544469697063e-06,0.0054289416934153,0.0019544190096292,1.1100320166666622e-05,2.896760166666666e-06,4.859999999979744e-10,5,0,3,12,3,12,13,-0.006756000000000012,0.16291560000000516,-0.0028650000000000064,0.09774935999999812,0.002923000000000009,0
5957,0,510.87,315,0.0,18.47,0.0,24.4,1,50.71,6,15.0,4.001166969696951e-06,0.0,0.0086196471385641,0.0,3.318240666666617e-06,0.0,0.0,4,0,6,8,6,8,23,-0.0037669999999999926,0.17777879999999868,0.0,0.0,0.0,0
6047,0,913.0,0,0.0,19.54,0.0,17.13,1,86.43,4,10.392,4.775758810606049e-06,0.0,0.2345787191850207,0.0,3.231378566666692e-06,0.0,0.0,7,0,11,23,11,23,24,-0.003044999999999992,1.6777787999999987,0.0,0.0,0.0,0
1938393,0,3426.48,3537,0.0,51.6,0.0,11.95,1,279.26,3,13.85,4.40362360606065e-06,0.0,0.0064647789908397,0.0,2.848195866666681e-06,0.0,0.0,4,0,9,1,9,1,2,-0.0037780000000000036,0.17777879999999868,0.0,0.0,0.0,0
9141,0,419.22,523,0.0,16.32,0.0,29.5,1,30.9,4,13.856,0.0004520488200606,0.0006089452740833,0.2274717887872032,0.0,7.864704700000005e-06,0.0012178905481666,0.0,4,0,3,1,9,20,3,-0.043550000000000005,-1.4940011999999996,0.085483,0.0,0.0,0
4259,0,632.17,0,0.0,16.74,0.0,14.64,1,64.34,4,10.392,1.6059283333333095e-06,0.0,0.0086196665327123,0.0,3.318240666666697e-06,0.0,0.0,2,0,6,25,7,9,12,-0.0013419999999998988,0.17777879999999868,0.0,0.0,0.0,0
12199,0,1811.9,0,0.0,21.1,0.0,23.4,1,156.21,5,10.392,4.839808151515121e-06,0.0006089452740833,2.181818167142925e-13,0.0,3.318240666666617e-06,0.0,0.0,5,0,1,10,1,10,9,-0.002031000000000005,-1.1999999998124622e-06,0.0,0.0,0.0,0
13859,0,8.83,0,0.0,18.26,0.0,30.22,1,0.88,5,13.2,5.36669481060609e-06,0.0,0.0064647208082943,0.0,3.318240666666617e-06,0.0,0.0,7,0,3,15,3,15,16,-0.0045469999999999955,0.17777879999999868,0.0,0.0,0.0,0
110534,0,3485.92,2797,0.0,131.87,0.100572,32.1,1,416.74,4,26.61,1.6784650022727336e-05,3.394407477272689e-06,0.0064343012662695,0.0023163484558568,1.110032016666668e-05,2.89676016666666e-06,4.860000000000553e-10,4,0,4,4,4,4,5,-0.007793999999999995,0.16291560000000516,-0.002897999999999998,0.09774935999999812,0.0029870000000000035,0
79090,0,2690.38,2191,0.0,130.47,0.097683,12.36,1,311.76,6,19.8,2.093732571969684e-05,4.784556242424236e-06,0.0064341946332547,0.0023163953769751,1.0323145766666411e-05,1.904531466666659e-06,2.418716166666613e-06,4,0,8,1,7,12,2,-0.008961999999999998,0.16291560000000516,-0.004064999999999999,0.09774935999999812,0.001818999999999904,0
5162,0,0.0,0,0.0,0.0,0.0,24.33,1,80.3,5,13.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11,18,11,18,21,0.0,0.0,0.0,0.0,0.0,0
88178,0,9070.33,6094,0.0,145.41,0.098858,32.88,1,719.37,6,33.0,1.581488208333324e-05,3.957494204545454e-06,0.0040214382914185,0.0014477177849105,1.1100320166666667e-05,2.89676016666666e-06,4.860000000000553e-10,4,0,1,15,9,14,16,-0.006195999999999993,0.16291560000000516,-0.0023050000000000015,0.09774935999999812,0.003481999999999999,1
22333,0,2377.86,2237,0.0,143.04,0.100123,9.93,1,234.39,5,52.5,2.025629390151517e-05,5.133817356060805e-06,0.0,0.0,1.1891369500000013e-05,2.784432700000113e-06,1.8604106666666445e-07,2,0,11,17,5,24,18,-0.009830999999999993,0.0,-0.004061000000000009,0.0,0.00043199999999998795,0
31653,0,82.03,124,0.0,129.6,0.103487,108.9,1,10.32,5,48.0,1.5457422424242437e-05,3.7207544469697063e-06,0.0054289416934153,0.0019544190096292,1.1100320166666622e-05,2.896760166666666e-06,4.859999999979744e-10,4,0,3,5,3,5,6,-0.006756000000000012,0.16291560000000516,-0.0028650000000000064,0.09774935999999812,0.002923000000000009,0
463646,0,2858.82,0,0.0,117.54,0.100123,11.04,1,372.55,3,33.0,1.4954563787878832e-05,2.4919993560606203e-06,0.0054288350608909,0.0019544659310116,9.624758666666688e-06,2.943237766666682e-06,2.822335499999971e-06,4,0,6,22,10,9,11,-0.007016000000000008,0.16291560000000516,-0.0013350000000000029,0.09774935999999812,0.003030999999999992,0
10602,0,1122.03,951,0.0,129.61,0.103487,36.22,1,137.56,4,20.0,1.5457422424242437e-05,3.7207544469697063e-06,0.0054289416934153,0.0019544190096292,1.1100320166666622e-05,2.896760166666666e-06,4.859999999979744e-10,4,0,3,13,3,13,16,-0.006756000000000012,0.16291560000000516,-0.0028650000000000064,0.09774935999999812,0.002923000000000009,0
21553,0,3213.49,0,0.0,16.09,0.0,19.28,1,301.91,3,10.392,4.117320696969648e-06,0.0,0.0076618913283488,0.0,3.318240666666697e-06,0.0,0.0,4,0,4,9,4,9,12,-0.003400999999999904,0.17777879999999868,0.0,0.0,0.0,1
348859,0,2767.31,2368,0.0,142.63,0.101397,4.46,1,364.43,5,100.0,1.7659600265151483e-05,4.608482083333329e-06,3.4363636433613887e-12,1.848000001321932e-12,1.1100320166666622e-05,2.896760166666644e-06,4.860000000000553e-10,0,0,12,20,12,20,21,-0.008161000000000002,3.600000006542814e-06,-0.004168999999999992,-2.640000001719045e-06,-5.3999999999998494e-05,0
7314,0,1094.82,1542,0.0,18.32,0.0,27.69,1,111.5,4,15.0,4.2324387500000446e-06,0.0,0.0083801936403809,0.0,3.318240666666617e-06,0.0,0.0,4,0,5,28,5,28,29,-0.0037669999999999926,0.17777879999999868,0.0,0.0,0.0,0
1129316,0,1346.17,1174,0.0,129.24,0.101397,2.46,1,172.91,4,19.72,1.7659600265151073e-05,4.608482083333368e-06,3.4363636433613887e-12,1.848000001321932e-12,1.1100320166666352e-05,2.896760166666666e-06,4.860000000000553e-10,4,0,12,17,12,17,20,-0.008160999999999904,3.600000006542814e-06,-0.004169000000000006,-2.640000001719045e-06,-5.3999999999998494e-05,1
11399,0,2158.81,1105,24.0,14.44,0.0,37.56,1,864.94,5,12.5,4.8680592424242265e-06,0.0,3.8181818111259284e-13,0.0,3.318240666666617e-06,0.0,0.0,4,0,5,26,4,1,2,-0.0007260000000000044,-1.1999999998124622e-06,0.0,0.0,0.0,0
162691,0,7603.69,9069,0.0,130.68,0.098858,16.32,1,677.58,5,16.4,1.7475382242424278e-05,4.521764083333344e-06,3.4363636433613887e-12,1.848000001321932e-12,1.1100320166666667e-05,2.896760166666666e-06,4.85999999998534e-10,4,0,1,6,1,6,7,-0.007849999999999982,3.600000006542814e-06,-0.0038709999999999994,-2.640000001719045e-06,0.0020449999999999913,0
158223,188601,5658.04,9471,0.0,129.26,0.098142,35.81,3,580.06,6,40.0,1.851790717424239e-05,3.969120628787912e-06,0.0064343012662695,0.0023163484558568,1.110032016666668e-05,2.896760166666666e-06,4.860000000000553e-10,0,1,4,10,9,16,12,-0.008497000000000005,0.16291560000000516,-0.003601000000000007,0.09774935999999812,0.0022829999999999934,0
84410,186857,3166.13,3007,0.0,132.13,0.101397,0.7999999999999989,4,396.63,4,17.25,1.5849543719696853e-05,4.0271147499999935e-06,0.0,0.0,1.0925039366666664e-05,3.4937982999999984e-06,1.3936394666666648e-06,7,1,12,2,11,17,3,-0.005259,0.0,-0.0012669999999999904,0.0,0.0028480000000000033,0
2887,0,436.45,0,0.0,14.91,0.0,34.68,1,49.0,3,13.856,5.551029424242396e-06,0.0,3.490909143860595e-13,0.0,3.318240666666697e-06,0.0,0.0,5,0,1,8,1,8,10,-0.005149999999999988,-1.1999999998124622e-06,0.0,0.0,0.0,0
8647,0,399.54,389,0.0,129.6,0.1000149999999999,51.96,1,45.47,6,20.785,1.6932330992424437e-05,4.325510333333314e-06,3.5345454611412245e-12,1.9008000004388437e-12,1.1100320166666693e-05,2.89676016666666e-06,4.860000000000553e-10,0,0,1,28,1,28,30,-0.006694999999999993,3.600000006542814e-06,-0.002715999999999996,-2.640000001719045e-06,0.0032009999999999955,0
10,0,1.52,0,0.0,6.67,0.0,21.52,1,0.16,5,13.2,4.001166969696951e-06,0.0,0.0086196665327123,0.0,3.318240666666617e-06,0.0,0.0,5,0,6,9,6,9,21,-0.0037669999999999926,0.17777879999999868,0.0,0.0,0.0,0
5682,0,853.4,0,0.0,17.35,0.0,23.76,1,82.52,5,10.392,4.164686151514982e-06,0.0,0.0064647208082943,0.0,3.3182406666665465e-06,0.0,0.0,2,0,3,8,3,8,9,-0.002818000000000015,0.17777879999999868,0.0,0.0,0.0,0
1017579,187578,100.27,125,0.0,146.81,0.098837,47.0,2,14.59,5,29.7,1.6359509356060575e-05,2.6477320833333143e-06,0.0072385356078,0.0026059154732663,1.110032016666668e-05,2.896760166666548e-06,4.860000000000553e-10,4,1,6,14,6,14,23,-0.007801000000000002,0.16291560000000516,-0.002904000000000004,0.09774935999999812,0.0029799999999999965,0
16605,227049,1694.72,2000,0.0,132.19,0.1000149999999999,24.72,2,183.25,6,16.5,1.5812320265151388e-05,3.957295113636379e-06,0.0040214382914185,0.0014477177849105,1.1100320166666667e-05,2.896760166666666e-06,4.860000000000553e-10,4,1,1,12,1,12,11,-0.006191999999999989,0.16291560000000516,-0.0023019999999999985,0.09774935999999812,0.003487000000000004,0
2502,0,375.75,0,0.0,19.51,0.0,22.52,1,35.96,4,13.856,4.001166969696951e-06,0.0,0.0086196665327123,0.0,3.318240666666617e-06,0.0,0.0,5,0,6,11,6,11,14,-0.0037669999999999926,0.17777879999999868,0.0,0.0,0.0,0
92718,0,8796.43,7895,0.0,145.77,0.096984,14.94,2,848.79,6,55.0,2.343310753787864e-05,7.002367424242475e-06,0.0054288350608909,0.0019544659310116,1.5367936166666696e-05,4.7724322666666575e-06,4.0137600000005754e-08,4,1,9,9,9,9,10,-0.010090999999999989,0.16291560000000516,-0.005640000000000006,0.09774935999999812,0.000328000000000106,0
597,0,74.51,0,0.0,13.64,0.084395,20.54,1,20.73,6,10.392,1.4954211878787913e-05,4.479536931818177e-06,3.8181818111259284e-13,0.0,1.2192241066666631e-05,5.630343899999998e-06,0.0,4,0,12,1,11,1,2,-0.008664000000000005,-1.1999999998124622e-06,-0.004805000000000004,0.0,0.0,0
64516,21201,4766.96,3764,0.0,145.03,0.10175,22.44,2,530.16,3,15.001,1.6397427606060223e-05,4.338392363636343e-06,0.0,0.0,1.1100320166666312e-05,2.896760166666644e-06,4.860000000000553e-10,4,1,3,22,6,25,23,-0.006108000000000002,0.0,-0.002129999999999993,0.0,0.003795000000000104,1
67923,14693,6714.09,4898,0.0,147.79,0.095965,19.92,2,571.66,3,20.0,1.6849395719697296e-05,4.312905000000015e-06,3.4363636433613887e-12,1.848000001321932e-12,1.110032016666691e-05,2.896760166666666e-06,4.860000000000553e-10,4,1,9,14,2,4,5,-0.006461000000000092,3.600000006542814e-06,-0.002484,-2.640000001719045e-06,0.0034320000000000045,0
6383,0,958.79,1116,0.0,16.26,0.0,34.68,1,101.81,6,13.856,8.091518636363664e-06,0.0,3.490909143860595e-13,0.0,5.035648666666711e-06,0.0,0.0,0,0,1,21,11,16,22,-0.006297999999999998,-1.1999999998124622e-06,0.0,0.0,0.0,0
7042,0,1058.3,0,0.0,19.49,0.0,22.89,1,102.08,4,13.856,4.775758810606049e-06,0.0,0.2345786886799816,0.0,3.231378566666692e-06,0.0,0.0,7,0,11,23,11,23,24,-0.003044999999999992,1.6777787999999987,0.0,0.0,0.0,0
19704,45795,1991.63,1466,0.0,128.19,0.101397,60.84,3,66.87,5,25.0,1.5014611537879076e-05,3.503692628787882e-06,3.4363636433613887e-12,1.848000001321932e-12,9.939616566666925e-06,2.71361176666668e-06,7.980827999999983e-07,5,1,12,8,11,17,9,-0.006418000000000007,3.600000006542814e-06,-0.0024259999999999976,-2.640000001719045e-06,0.001688999999999996,0
15803,0,461.63,0,0.0,16.48,0.0,37.56,1,45.07,6,15.0,3.740125424242472e-06,0.0,0.008380258287567,0.0,2.4858406666666936e-06,0.0,0.0,0,0,1,1,1,1,2,-0.002818000000000015,0.17777879999999868,0.0,0.0,0.0,0
10930,0,777.96,1578,0.0,16.68,0.0885389999999999,14.57,1,59.82,7,10.35,1.5413048106060538e-06,2.1011202651515247e-06,0.0083802259640179,0.0,9.688201666666755e-07,1.3207041666666778e-06,0.0,4,0,7,14,7,14,15,-0.0024109999999999965,0.17777879999999868,0.002815000000000012,0.0,0.0,0
15150,0,1637.98,4700,0.0,10.37,0.086163,29.76,1,134.5,3,14.49,4.765414265151722e-06,9.423023863636356e-07,0.0064647208082943,0.0,3.5697306666668025e-06,9.450150000000093e-08,0.0,2,0,3,16,3,16,17,-0.0035210000000001074,0.17777879999999868,0.001676999999999998,0.0,0.0,0
3251,0,487.33,0,0.0,16.44,0.0,10.08,1,47.33,5,10.392,4.391109356060598e-06,0.0,0.0064647789908397,0.0,2.842930166666625e-06,0.0,0.0,0,0,9,15,9,15,16,-0.0037669999999999926,0.17777879999999868,0.0,0.0,0.0,0
4077,0,601.62,668,0.0,16.89,0.0,15.5,1,59.37,6,11.0,7.971528992424199e-06,0.0,0.0083802259640179,0.0,2.3688166666666405e-06,0.0,0.0,2,0,7,9,5,23,10,-0.006669000000000008,0.17777879999999868,0.0,0.0,0.0,0
16163,0,1739.46,1474,0.0,0.0,0.098837,12.9,1,181.75,6,20.7,1.6444611174242435e-05,2.7590520833333404e-06,1.1113172712318369,49.51443841351841,1.0351424166666688e-05,1.917144166666672e-06,2.4115046666666737e-06,0,0,8,1,8,1,2,-0.007801000000000002,0.16291560000000516,-0.002904000000000004,0.09774935999999812,0.0029799999999999965,0
51558,0,3469.21,0,0.0,17.27,0.081173,4.83,2,122.17,3,10.35,8.583371515151451e-06,2.382153719696977e-06,0.0083802388933848,0.0,7.11437816666663e-06,3.195788699999979e-06,0.0,4,0,10,24,11,18,25,-0.006187999999999999,0.17777879999999868,-0.0033949999999999952,0.0,0.0,1
1750,0,176.01,64,0.0,127.81,0.103487,37.39,1,21.87,4,16.5,1.5457422424242437e-05,3.7207544469697063e-06,0.0054289416934153,0.0019544190096292,1.1100320166666622e-05,2.896760166666666e-06,4.859999999979744e-10,4,0,3,13,3,13,16,-0.006756000000000012,0.16291560000000516,-0.0028650000000000064,0.09774935999999812,0.002923000000000009,0
51774,0,5282.47,4095,0.0,130.67,0.10175,23.66,1,544.49,4,26.4,1.830589626515133e-05,5.0627279015151605e-06,0.0054289416934153,0.0019544190096292,1.1100320166666312e-05,2.896760166666644e-06,4.860000000000553e-10,4,0,3,10,3,10,11,-0.008497000000000005,0.16291560000000516,-0.004607,0.09774935999999812,0.0011820000000000025,0
